elapsed_s,utc_time,left_hand_open,left_tactile_thumb,left_tactile_index,left_tactile_middle,left_tactile_ring,left_tactile_pinky,left_tactile_thumb_taxel_01_raw,left_tactile_thumb_taxel_02_raw,left_tactile_thumb_taxel_03_raw,left_tactile_thumb_taxel_04_raw,left_tactile_thumb_taxel_05_raw,left_tactile_thumb_taxel_06_raw,left_tactile_thumb_taxel_07_raw,left_tactile_thumb_taxel_08_raw,left_tactile_thumb_taxel_09_raw,left_tactile_thumb_taxel_10_raw,left_tactile_thumb_taxel_11_raw,left_tactile_thumb_taxel_12_raw,left_tactile_thumb_taxel_13_raw,left_tactile_thumb_taxel_14_raw,left_tactile_thumb_taxel_15_raw,left_tactile_thumb_taxel_16_raw,left_tactile_index_taxel_01_raw,left_tactile_index_taxel_02_raw,left_tactile_index_taxel_03_raw,left_tactile_index_taxel_04_raw,left_tactile_index_taxel_05_raw,left_tactile_index_taxel_06_raw,left_tactile_index_taxel_07_raw,left_tactile_index_taxel_08_raw,left_tactile_index_taxel_09_raw,left_tactile_index_taxel_10_raw,left_tactile_index_taxel_11_raw,left_tactile_index_taxel_12_raw,left_tactile_index_taxel_13_raw,left_tactile_index_taxel_14_raw,left_tactile_index_taxel_15_raw,left_tactile_index_taxel_16_raw,left_tactile_middle_taxel_01_raw,left_tactile_middle_taxel_02_raw,left_tactile_middle_taxel_03_raw,left_tactile_middle_taxel_04_raw,left_tactile_middle_taxel_05_raw,left_tactile_middle_taxel_06_raw,left_tactile_middle_taxel_07_raw,left_tactile_middle_taxel_08_raw,left_tactile_middle_taxel_09_raw,left_tactile_middle_taxel_10_raw,left_tactile_middle_taxel_11_raw,left_tactile_middle_taxel_12_raw,left_tactile_middle_taxel_13_raw,left_tactile_middle_taxel_14_raw,left_tactile_middle_taxel_15_raw,left_tactile_middle_taxel_16_raw,left_tactile_ring_taxel_01_raw,left_tactile_ring_taxel_02_raw,left_tactile_ring_taxel_03_raw,left_tactile_ring_taxel_04_raw,left_tactile_ring_taxel_05_raw,left_tactile_ring_taxel_06_raw,left_tactile_ring_taxel_07_raw,left_tactile_ring_taxel_08_raw,left_tactile_ring_taxel_09_raw,left_tactile_ring_taxel_10_raw,left_tactile_ring_taxel_11_raw,left_tactile_ring_taxel_12_raw,left_tactile_ring_taxel_13_raw,left_tactile_ring_taxel_14_raw,left_tactile_ring_taxel_15_raw,left_tactile_ring_taxel_16_raw,left_tactile_pinky_taxel_01_raw,left_tactile_pinky_taxel_02_raw,left_tactile_pinky_taxel_03_raw,left_tactile_pinky_taxel_04_raw,left_tactile_pinky_taxel_05_raw,left_tactile_pinky_taxel_06_raw,left_tactile_pinky_taxel_07_raw,left_tactile_pinky_taxel_08_raw,left_tactile_pinky_taxel_09_raw,left_tactile_pinky_taxel_10_raw,left_tactile_pinky_taxel_11_raw,left_tactile_pinky_taxel_12_raw,left_tactile_pinky_taxel_13_raw,left_tactile_pinky_taxel_14_raw,left_tactile_pinky_taxel_15_raw,left_tactile_pinky_taxel_16_raw,left_arm_joint_1_rad,left_arm_joint_2_rad,left_arm_joint_3_rad,left_arm_joint_4_rad,left_arm_joint_5_rad,left_arm_joint_6_rad,left_arm_joint_7_rad,left_arm_joint_1_angular_vel_rad_s,left_arm_joint_2_angular_vel_rad_s,left_arm_joint_3_angular_vel_rad_s,left_arm_joint_4_angular_vel_rad_s,left_arm_joint_5_angular_vel_rad_s,left_arm_joint_6_angular_vel_rad_s,left_arm_joint_7_angular_vel_rad_s,left_arm_tcp_x_m,left_arm_tcp_y_m,left_arm_tcp_z_m,left_arm_tcp_rx_rad,left_arm_tcp_ry_rad,left_arm_tcp_rz_rad,left_arm_cmd_x_m,left_arm_cmd_y_m,left_arm_cmd_z_m,left_arm_cmd_rx_rad,left_arm_cmd_ry_rad,left_arm_cmd_rz_rad,right_hand_open,right_tactile_thumb,right_tactile_index,right_tactile_middle,right_tactile_ring,right_tactile_pinky,right_tactile_thumb_taxel_01_raw,right_tactile_thumb_taxel_02_raw,right_tactile_thumb_taxel_03_raw,right_tactile_thumb_taxel_04_raw,right_tactile_thumb_taxel_05_raw,right_tactile_thumb_taxel_06_raw,right_tactile_thumb_taxel_07_raw,right_tactile_thumb_taxel_08_raw,right_tactile_thumb_taxel_09_raw,right_tactile_thumb_taxel_10_raw,right_tactile_thumb_taxel_11_raw,right_tactile_thumb_taxel_12_raw,right_tactile_thumb_taxel_13_raw,right_tactile_thumb_taxel_14_raw,right_tactile_thumb_taxel_15_raw,right_tactile_thumb_taxel_16_raw,right_tactile_index_taxel_01_raw,right_tactile_index_taxel_02_raw,right_tactile_index_taxel_03_raw,right_tactile_index_taxel_04_raw,right_tactile_index_taxel_05_raw,right_tactile_index_taxel_06_raw,right_tactile_index_taxel_07_raw,right_tactile_index_taxel_08_raw,right_tactile_index_taxel_09_raw,right_tactile_index_taxel_10_raw,right_tactile_index_taxel_11_raw,right_tactile_index_taxel_12_raw,right_tactile_index_taxel_13_raw,right_tactile_index_taxel_14_raw,right_tactile_index_taxel_15_raw,right_tactile_index_taxel_16_raw,right_tactile_middle_taxel_01_raw,right_tactile_middle_taxel_02_raw,right_tactile_middle_taxel_03_raw,right_tactile_middle_taxel_04_raw,right_tactile_middle_taxel_05_raw,right_tactile_middle_taxel_06_raw,right_tactile_middle_taxel_07_raw,right_tactile_middle_taxel_08_raw,right_tactile_middle_taxel_09_raw,right_tactile_middle_taxel_10_raw,right_tactile_middle_taxel_11_raw,right_tactile_middle_taxel_12_raw,right_tactile_middle_taxel_13_raw,right_tactile_middle_taxel_14_raw,right_tactile_middle_taxel_15_raw,right_tactile_middle_taxel_16_raw,right_tactile_ring_taxel_01_raw,right_tactile_ring_taxel_02_raw,right_tactile_ring_taxel_03_raw,right_tactile_ring_taxel_04_raw,right_tactile_ring_taxel_05_raw,right_tactile_ring_taxel_06_raw,right_tactile_ring_taxel_07_raw,right_tactile_ring_taxel_08_raw,right_tactile_ring_taxel_09_raw,right_tactile_ring_taxel_10_raw,right_tactile_ring_taxel_11_raw,right_tactile_ring_taxel_12_raw,right_tactile_ring_taxel_13_raw,right_tactile_ring_taxel_14_raw,right_tactile_ring_taxel_15_raw,right_tactile_ring_taxel_16_raw,right_tactile_pinky_taxel_01_raw,right_tactile_pinky_taxel_02_raw,right_tactile_pinky_taxel_03_raw,right_tactile_pinky_taxel_04_raw,right_tactile_pinky_taxel_05_raw,right_tactile_pinky_taxel_06_raw,right_tactile_pinky_taxel_07_raw,right_tactile_pinky_taxel_08_raw,right_tactile_pinky_taxel_09_raw,right_tactile_pinky_taxel_10_raw,right_tactile_pinky_taxel_11_raw,right_tactile_pinky_taxel_12_raw,right_tactile_pinky_taxel_13_raw,right_tactile_pinky_taxel_14_raw,right_tactile_pinky_taxel_15_raw,right_tactile_pinky_taxel_16_raw,right_arm_joint_1_rad,right_arm_joint_2_rad,right_arm_joint_3_rad,right_arm_joint_4_rad,right_arm_joint_5_rad,right_arm_joint_6_rad,right_arm_joint_7_rad,right_arm_joint_1_angular_vel_rad_s,right_arm_joint_2_angular_vel_rad_s,right_arm_joint_3_angular_vel_rad_s,right_arm_joint_4_angular_vel_rad_s,right_arm_joint_5_angular_vel_rad_s,right_arm_joint_6_angular_vel_rad_s,right_arm_joint_7_angular_vel_rad_s,right_arm_tcp_x_m,right_arm_tcp_y_m,right_arm_tcp_z_m,right_arm_tcp_rx_rad,right_arm_tcp_ry_rad,right_arm_tcp_rz_rad,right_arm_cmd_x_m,right_arm_cmd_y_m,right_arm_cmd_z_m,right_arm_cmd_rx_rad,right_arm_cmd_ry_rad,right_arm_cmd_rz_rad,force_fx_n,force_fy_n,force_fz_n,torque_mx_nm,torque_my_nm,torque_mz_nm,left_force_fx_n,left_force_fy_n,left_force_fz_n,left_torque_mx_nm,left_torque_my_nm,left_torque_mz_nm
0.000000,2026-08-20T21:15:48.249+00:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,-0.5114386252916003,-0.6155336090240723,-2.2404747607954096,2.2709869737301456,-1.4392094358641345,-0.08245128500981869,0.8002588372327484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4989850167123881,0.2768858982492026,0.23882100747892923,0.6203346422150897,-0.3794486610390772,2.2601602356388697,-0.4989850167123881,0.2768858982492026,0.23882100747892923,0.6203346422150897,-0.3794486610390772,2.2601602356388697,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,2.3106787289824995,1.0599570064110422,-1.5175862714167898,1.9994723580908556,0.8726914968780459,-0.8561768594670878,-1.9193933879931555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.298030328712505,-0.5966742016336106,0.3604371163509781,0.6079715342340299,-0.22620706105104657,-2.355524734463607,0.298030328712505,-0.5966742016336106,0.3604371163509781,0.6079715342340299,-0.22620706105104657,-2.355524734463607,0.0,0.10000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.034498,2026-08-20T21:15:48.283+00:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,-0.5114386252916003,-0.6155336090240723,-2.2404747607954096,2.2709869737301456,-1.4392094358641345,-0.08245128500981869,0.8002588372327484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4989850167123881,0.2768858982492026,0.23882100747892923,0.6203346422150897,-0.3794486610390772,2.2601602356388697,-0.4973385240197196,0.2772198758441911,0.23832769560379866,0.6171979554333779,-0.37816652086255254,2.2559614427634194,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,2.3106787289824995,1.0599570064110422,-1.5175862714167898,1.9994723580908556,0.8726914968780459,-0.8561768594670878,-1.9193694195419164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.298030328712505,-0.5966742016336106,0.3604371163509781,0.6079656307651676,-0.226213159227319,-2.355501704090088,0.29868752663110215,-0.5959003488530104,0.35899513104956876,0.6034460640590797,-0.22236849186119184,-2.3535158881550142,0.0,0.10000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.066776,2026-08-20T21:15:48.315+00:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,-0.5114386252916003,-0.6155096405728329,-2.2404747607954096,2.2709869737301456,-1.4391854674128954,-0.08242731655857936,0.8002588372327484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.49898705322309317,0.2768868311504737,0.23883185790325787,0.6203583690305804,-0.3794622663982968,2.260166064643282,-0.4973385240197196,0.2772198758441911,0.23832769560379866,0.6171979554333779,-0.37816652086255254,2.2559614427634194,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,2.3106787289824995,1.059980974862281,-1.5175862714167898,1.9994963265420944,0.8727154653292857,-0.8562008279183271,-1.9193694195419164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29803198533174113,-0.5966623907677777,0.3604219695126632,0.6079470303731078,-0.22617441191934137,-2.3554795483950586,0.29868752663110215,-0.5959003488530104,0.35899513104956876,0.6034460640590797,-0.22236849186119184,-2.3535158881550142,0.0,0.10000000000000009,0.0,0.0,0.0,0.0,-0.09999999999999998,0.0,0.0,0.0,0.0,0.0
0.100887,2026-08-20T21:15:48.349+00:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,-0.5114386252916003,-0.6155575774753115,-2.2404747607954096,2.2710109421813844,-1.4392094358641345,-0.08245128500981869,0.8002588372327484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4989717847927982,0.27688634700080633,0.23880712871633206,0.6202882094882466,-0.37947803772757127,2.2601656910129972,-0.4973385240197196,0.2772198758441911,0.23832769560379866,0.6114270151145696,-0.3630448651346923,2.2548844478475103,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,2.3106787289824995,1.0599570064110422,-1.5175862714167898,1.9994963265420944,0.8727154653292857,-0.8562008279183271,-1.919345451090677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29803318795652545,-0.5966610694915789,0.3604276961337712,0.6079134065341192,-0.22619387013522185,-2.355456280023746,0.2998026004231376,-0.5946384035062445,0.3536512950759899,0.5925040693542449,-0.20321041404065626,-2.353132547027336,0.0,0.10000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.132840,2026-08-20T21:15:48.381+00:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,-0.511414656840361,-0.6155336090240723,-2.2404747607954096,2.2710109421813844,-1.4392094358641345,-0.08242731655857936,0.8002588372327484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.49896516807235675,0.27689934210900014,0.2388172713744743,0.6203080605788506,-0.3794870498412556,2.2601261153363392,-0.4973385240197196,0.2772198758441911,0.23832769560379866,0.6114270151145696,-0.3630448651346923,2.2548844478475103,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,2.3106787289824995,1.0599570064110422,-1.5175862714167898,1.9994963265420944,0.8727154653292857,-0.8561768594670878,-1.9193694195419164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2980343325628302,-0.5966624229019397,0.3604307053735066,0.607939653420164,-0.2262108983937799,-2.355476916084677,0.2998026004231376,-0.5946384035062445,0.3536512950759899,0.5925040693542449,-0.20321041404065626,-2.353132547027336,0.0,0.10000000000000009,-0.10000000000000142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.166718,2026-08-20T21:15:48.415+00:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,-0.5114386252916003,-0.6155336090240723,-2.2404747607954096,2.2709869737301456,-1.4392094358641345,-0.08245128500981869,0.8002588372327484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.49896516807235675,0.27689934210900014,0.2388172713744743,0.6203080605788506,-0.3794870498412556,2.2601261153363392,-0.4973385240197196,0.2772198758441911,0.23832769560379866,0.6104534610093431,-0.3579500569508305,2.2598238399413284,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,2.3106787289824995,1.059980974862281,-1.5175862714167898,1.9994963265420944,0.8726914968780459,-0.8562008279183271,-1.9193694195419164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29803217873100785,-0.5966619881044305,0.3604220819322135,0.607967753558154,-0.2261553726548917,-2.3554884733296,0.2990900813337913,-0.594889591518947,0.34993825216058344,0.5861882697462395,-0.18672146952306543,-2.353838487767491,0.0,0.10000000000000009,-0.10000000000000142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.199911,2026-08-20T21:15:48.448+00:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,-0.5114386252916003,-0.6155336090240723,-2.2404747607954096,2.2709869737301456,-1.4392094358641345,-0.08242731655857936,0.8002348687815091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4989840586883439,0.27688748272986197,0.2388239690006724,0.6203464614181271,-0.37946661109306307,2.2601280920851323,-0.4973385240197196,0.2772198758441911,0.23832769560379866,0.6129177458810364,-0.35989263993726667,2.2613892376860893,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,2.3106787289824995,1.059980974862281,-1.5175862714167898,1.9994723580908556,0.8726914968780459,-0.8561768594670878,-1.9193694195419164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29802912593563974,-0.5966755230765934,0.36043138945120023,0.6079933517163415,-0.22619979826329278,-2.3555019420825927,0.29926768041059276,-0.5957603869657601,0.34882519999294376,0.581629808267826,-0.18083333742521587,-2.3572524418539063,0.10000000000000009,0.10000000000000009,-0.10000000000000142,0.0,0.0,0.0,0.0,0.10000000000000053,0.0,0.0,0.0,0.0
0.234301,2026-08-20T21:15:48.483+00:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,-0.511414656840361,-0.6155336090240723,-2.2404747607954096,2.2710109421813844,-1.4392094358641345,-0.08242731655857936,0.8002588372327484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.49896516807235675,0.27689934210900014,0.2388172713744743,0.6203080605788506,-0.3794870498412556,2.2601261153363392,-0.4973385240197196,0.2772198758441911,0.23832769560379866,0.6129177458810364,-0.35989263993726667,2.2613892376860893,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,2.3106787289824995,1.0599570064110422,-1.5175862714167898,1.9994723580908556,0.8727154653292857,-0.8562008279183271,-1.9193694195419164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2980289907831255,-0.5966732508170718,0.3604339947023494,0.6079245633896475,-0.22620907180164126,-2.355495173404032,0.29926768041059276,-0.5957603869657601,0.34882519999294376,0.5810286502587538,-0.17845124237469753,-2.360459052565113,0.0,0.10000000000000009,0.0,0.0,0.0,0.0,-0.09999999999999998,0.0,0.0,0.0,0.0,0.0
0.266965,2026-08-20T21:15:48.515+00:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,-0.511414656840361,-0.6155336090240723,-2.2404747607954096,2.2709869737301456,-1.4392094358641345,-0.08245128500981869,0.8002588372327484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.49897838004290757,0.27689785806771,0.23882100747892923,0.6203269901746097,-0.3794541961589253,2.2601374381226313,-0.4964958267738563,0.27659354481892473,0.2370884295533879,0.6145519925757634,-0.3541177980318807,2.2602442316068454,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,2.3107026974337384,1.0599570064110422,-1.5175862714167898,1.9994963265420944,0.8726914968780459,-0.8562008279183271,-1.9193694195419164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.298019080239911,-0.5966678100534254,0.3604278085430653,0.6079405144402608,-0.22617720673626968,-2.3555112662954216,0.29916269462885076,-0.5968269338686621,0.3476077300535621,0.5799936550857049,-0.17045913012986463,-2.361660908832943,0.0,0.10000000000000009,-0.10000000000000142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.299928,2026-08-20T21:15:48.548+00:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,-0.511414656840361,-0.6155336090240723,-2.2404747607954096,2.2709869737301456,-1.4392094358641345,-0.08245128500981869,0.8002588372327484,0.0,0.0,0.0,0.0,0.0,-0.0009900990214582225,0.0,-0.49897838004290757,0.27689785806771,0.23882100747892923,0.6203269901746097,-0.3794541961589253,2.2601374381226313,-0.4964958267738563,0.27659354481892473,0.2370884295533879,0.6145519925757634,-0.3541177980318807,2.2602442316068454,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,2.3106787289824995,1.0599570064110422,-1.5175862714167898,1.9994963265420944,0.8727154653292857,-0.8563446386257634,-1.9193694195419164,0.0,0.0,0.0,0.0,0.0,-0.013861385641216827,0.0,0.2980263188294841,-0.5966529485317076,0.3604096414857512,0.6077972448281883,-0.226049017326896,-2.3554936714245596,0.29916269462885076,-0.5968269338686621,0.3476077300535621,0.5799936550857049,-0.17045913012986463,-2.361660908832943,-0.09999999999999964,0.10000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
